titulo,precio,precio_original,descuento,ventas,link,moneda,proveedor,proveedor_anios,proveedor_pais,proveedor_verificado,rating_score,rating_count,moq,moq_texto,envio_promesa,tasa_repeticion,pagina,plataforma,fecha_scraping,precios_por_niveles,ingresos_anuales_usd,mercados_principales,pais_origen_detallado,atributos_produccion,peso_bruto_kg,tiempos_entrega
2025 Ladies for Polo T Shirts Short Sleeve Women's Knitted for Polo Shirts Breathable Long Clothing Solid Pattern Cheap Price Sa,8.6,,,0,https://www.alibaba.com/product-detail/2025-Ladies-for-Polo-T-Shirts_10000027599683.html,$,DARIB IMPEX,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Personalized Embroidery & Printed Sport Running Outdoor Shirt Casual Vintage Style Plus Size Anti-Wrinkle Feature,5.0,,,0,https://www.alibaba.com/product-detail/Personalized-Embroidery-Printed-Sport-Running-Outdoor_10000002248002.html,$,XCITE SPORTS,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Latest Designs Smooth Silk Satin Shirt 2022 Men's Slim Fit Long Sleeve Button Down Dress Shirts at Wholesale,11.0,,,0,https://www.alibaba.com/product-detail/Latest-Designs-Smooth-Silk-Satin-Shirt_10000007183250.html,$,OUTDO ENTERPRISES,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
cotton shirts hippie men shirt casual summer wear designer handmade cotton block printed long sleeve shirts for men,12.0,,,0,https://www.alibaba.com/product-detail/cotton-shirts-hippie-men-shirt-casual_10000031885224.html,$,LAVINAS,,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Wholesale New Style Women's 100% Cotton for Polo Shirts Casual Wear Short Sleeve Breathable Knitted Shirts with Custom Logo,7.0,,,0,https://www.alibaba.com/product-detail/Wholesale-New-Style-Women-s-100_10000016300570.html,$,SEWARD SPORTS,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Top Quality Casual Plain Cotton Shirts Customize Design Stylish Men's Shirts New Cotton Breathable Stand Collar Shirts,5.69,,,0,https://www.alibaba.com/product-detail/Top-Quality-Casual-Plain-Cotton-Shirts_10000032073225.html,$,GUNIT IMPEX,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Men's Hawaiian Shirt Short Sleeve Funny Printed Casual Button Down Aloha Shirts Summer Beachwear Floral Print men's shirts,7.66,,,0,https://www.alibaba.com/product-detail/Men-s-Hawaiian-Shirt-Short-Sleeve_10000028954341.html,$,STORM FIT,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
New Wholesale Custom square Collar Long Sleeved Shirt With Buttons Blank Shirt Fashionable Plus Size Shirt,13.0,,,0,https://www.alibaba.com/product-detail/New-Wholesale-Custom-square-Collar-Long_11000028288127.html,$,DWELL IMPEX,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Premium Quality Stylish Summer Shirts Quick-Dry Long Sleeves Women's Shirts Casual Breathable Wholesale Shirt,3.78,,,0,https://www.alibaba.com/product-detail/Premium-Quality-Stylish-Summer-Shirts-Quick_11000028422998.html,$,CYBEX INDUSTRY,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Casual Summer Short Sleeve Loose Shirts Men Vintage Beach Wear Button Down Shirt men's shirts,11.0,,,0,https://www.alibaba.com/product-detail/Casual-Summer-Short-Sleeve-Loose-Shirts_11000028067552.html,$,SAQRAT SPORTS,,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
OEM Service Newest White And Black Color 2 in 1 Product Plus Size Breathable Customized Made In Best Price Flannel Shirts,8.75,,,0,https://www.alibaba.com/product-detail/OEM-Service-Newest-White-And-Black_11000023925529.html,$,WAKIN WEAR,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
High Quality Office Shirts for Man and Women Cotton and Polyester T Shirt Uniform Mens Formal Sleeve Clothes,6.0,,,0,https://www.alibaba.com/product-detail/High-Quality-Office-Shirts-for-Man_11000028616880.html,$,BROOKLYN ATHLETICS NY,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Printed cotton Hawaiian men's shirts with beach palm designs for hot weather,6.97,,,0,https://www.alibaba.com/product-detail/Printed-cotton-Hawaiian-men-s-shirts_11000025898183.html,$,JAJOPORE ENTERPRISES,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
100% Cotton Casual Summer Shirts Deep Wave Breathable OEM Service,20.0,,,0,https://www.alibaba.com/product-detail/100-Cotton-Casual-Summer-Shirts-Deep_1601597350416.html,$,SEVEN DESIGN COMPANY,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Premium Quality Plain Summer Woman Shirts 100% Cotton Casual Women's Shirts Custom Stylish Design Wholesale Shirt,4.61,,,0,https://www.alibaba.com/product-detail/Premium-Quality-Plain-Summer-Woman-Shirts_10000034066262.html,$,YAYA WEARS,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Shirt Autumn and Winter New Style Long-sleeved Turtleneck Fashionable Loose Women,6.0,,,0,https://www.alibaba.com/product-detail/Shirt-Autumn-and-Winter-New-Style_11000030307504.html,$,4A APPAREL,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Cotton Latest Pockets Oversized Plaid Women's Shirts Full Sleeve TurnDown Collar Flannel Long Shirt 100% Cotton Women's Blouses,11.0,,,0,https://www.alibaba.com/product-detail/Cotton-Latest-Pockets-Oversized-Plaid-Women_10000025224039.html,$,SANZAF ENTERPRISES,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Top trending customized FLANNEL SHIRT hot selling breathable customized logo design FLANNEL SHIRT OEM ODMO service,4.5,,,0,https://www.alibaba.com/product-detail/Top-trending-customized-FLANNEL-SHIRT-hot_11000028462320.html,$,DESTRO SPORTS,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Hot Selling Design Stretch Anti-wrinkle Long Sleeve Shirt Casual Plus Size Men's Shirts,6.66,,,0,https://www.alibaba.com/product-detail/Hot-Selling-Design-Stretch-Anti-wrinkle_1600697036837.html,$,"Guangzhou Mofei Clothing Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
New Loose Fit Cotton Cropped Cut Shirt Comfortable Factory Manufacturing Customized Design Crop Top Ladies T-Shirt,5.99,,,0,https://www.alibaba.com/product-detail/New-Loose-Fit-Cotton-Cropped-Cut_11000009589158.html,$,PROFIT SPORTS,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
100%Cotton Women Shirts Oversized Tops Autumn/Winter Vintage Casual Full Sleeve T-Shirts Loose Fit Breathable Customized Colors,15.0,,,0,https://www.alibaba.com/product-detail/100-Cotton-Women-Shirts-Oversized-Tops_10000032396021.html,$,QAPLA' INDUSTRIES,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Shirt T-shirt Wholesale High Quality Cotton Shirt Enterprise Short Sleeve Work Clothes Heat printing,4.0,,,0,https://www.alibaba.com/product-detail/Shirt-T-shirt-Wholesale-High-Quality_50015998924.html,$,VAFIR INDUSTRY,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
